X,Y
43188,-24677
40020,-22565
41076,-18341
45300,-21509
48468,-22565
47412,-17285
50580,-16229
52692,-18341
41076,-16229
40020,-14117
42132,-10949
45300,-13061
47412,-13061
47412,-10949
47412,-6725
52692,-9893
41076,-8837
40020,-6725
41076,-3557
45300,-6725
48468,-4613
46356,-389
48468,1723
52692,-1445
41076,-1445
40020,-389
42132,3835
45300,1723
47412,3835
46356,5947
47412,10171
51636,7003
41076,5947
41076,7003
43188,12283
45300,9115
47412,11227
46356,14395
49524,16507
51636,14395
41076,13339
41076,15451
43188,19675
45300,17563
47412,19675
46356,22843
47412,26011
51636,22843
41076,20731
41076,22843
43188,26011
45300,23899
