X,Y
-50088,-16379
-52200,-15323
-50088,-12155
-46920,-14267
-49032,-11099
-51144,-8987
-49032,-6875
-46920,-8987
-50088,-5819
-52200,-3707
-50088,-539
-46920,-2651
-43752,-539
-45864,1573
-42696,3685
-41640,517
-50088,517
-52200,3685
-50088,5797
-46920,3685
-42696,4741
-44808,6853
-43752,8965
-40584,7909
-49032,5797
-52200,6853
-50088,12133
-46920,8965
-43752,11077
-44808,12133
-42696,14245
-40584,13189
-50088,13189
-52200,17413
-50088,18469
-46920,16357
-42696,17413
-44808,19525
-43752,20581
-40584,19525
-52200,19525
-52200,21637
-50088,25861
-47976,23749
-43752,22693
-44808,23749
-42696,25861
-40584,24805
